image path：/home/u23211510025/process/val_batch26/C202401364/Step3_sc_slide/C202401364
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_16_50_6.png	good	[0.0005903112469241023, 0.9397755861282349, 0.013997641392052174, 0.0014679147861897945, 0.006772438995540142, 0.03202560544013977, 0.005370474420487881]
tile_42_17_4.png	good	[1.6313058949890547e-05, 0.9989997744560242, 0.00010977736383210868, 0.00015953042020555586, 0.0005263329367153347, 0.00011360130156390369, 7.457868923665956e-05]
tile_13_49_1.png	good	[0.0009024302125908434, 0.9526942372322083, 0.008211100473999977, 0.000970742607023567, 0.0019398861331865191, 0.03455754742026329, 0.0007239891565404832]
tile_17_22_6.png	good	[0.01888113282620907, 0.8294800519943237, 0.09632134437561035, 0.004806470591574907, 0.004449198953807354, 0.037063341587781906, 0.008998455479741096]
tile_33_60_6.png	good	[0.0004996999050490558, 0.7515164613723755, 0.016911983489990234, 0.014345257543027401, 0.21488399803638458, 0.0012610077392309904, 0.0005815942422486842]
tile_34_15_5.png	good	[0.004823935683816671, 0.9848997592926025, 0.005457276478409767, 4.9827154725790024e-05, 0.000573138240724802, 0.0026142168790102005, 0.001581825315952301]
tile_52_31_7.png	good	[0.01047644205391407, 0.5643009543418884, 0.0009228851413354278, 0.0015719224466010928, 0.4079163670539856, 0.013527894392609596, 0.0012835274683311582]
tile_40_56_3.png	good	[0.00017280956672038883, 0.9994158744812012, 6.221334479050711e-05, 0.00011409724538680166, 0.00013670310727320611, 3.75900199287571e-05, 6.057827340555377e-05]
tile_24_18_3.png	good	[7.950855797389522e-05, 0.9994335770606995, 3.542567719705403e-05, 1.878315015346743e-05, 9.680321818450466e-05, 0.0003150096454191953, 2.0782745195901953e-05]
tile_32_37_3.png	good	[0.0001497986086178571, 0.9956591129302979, 0.0001813246199162677, 1.8604045180836692e-05, 1.9984845494036563e-05, 0.0038726103957742453, 9.857329860096797e-05]
tile_33_26_4.png	good	[0.003124936018139124, 0.9895144701004028, 0.0022872299887239933, 0.00023412435257341713, 0.001745587564073503, 0.002147719729691744, 0.0009459663997404277]
tile_41_45_4.png	good	[0.0007335350383073092, 0.8404524326324463, 0.000521081849001348, 0.00015794334467500448, 0.14593540132045746, 0.011683364398777485, 0.0005163480527698994]
tile_16_33_5.png	good	[0.00011033472401322797, 0.99427729845047, 0.0010726918699219823, 5.856257848790847e-05, 0.0017347325338050723, 0.0026932351756840944, 5.317492468748242e-05]
tile_58_32_0.png	good	[0.00013919456978328526, 0.9920768737792969, 0.0009206219692714512, 0.000545542046893388, 0.0021218585316091776, 0.0008028633892536163, 0.003392963670194149]
tile_14_55_3.png	good	[0.000427326129283756, 0.986151397228241, 0.0005539779085665941, 0.0006771968328393996, 0.005765102803707123, 0.006028032395988703, 0.00039685520459897816]
tile_31_48_2.png	good	[0.0016713541699573398, 0.8929532170295715, 0.022871943190693855, 0.009197303093969822, 0.06487522274255753, 0.005457498133182526, 0.0029733781702816486]
tile_23_29_2.png	good	[0.007045948877930641, 0.9510127902030945, 0.002076474018394947, 2.9479828299372457e-05, 0.015340211801230907, 0.02403842657804489, 0.0004566929128486663]
tile_52_56_0.png	good	[0.0005779986968263984, 0.7586218118667603, 0.18128323554992676, 0.0010978394420817494, 0.05492446571588516, 0.0004331299860496074, 0.003061498049646616]
tile_36_18_0.png	mult	[0.011467017233371735, 0.4494953453540802, 0.46748611330986023, 0.004144774749875069, 0.018218744546175003, 0.01637984625995159, 0.03280818834900856]
