image path：/home/u23211510025/process/val_batch18/C202366603/Step3_sc_slide/C202366603
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_45_43_2.png	good	[0.0005474297213368118, 0.9964802861213684, 0.0008325951057486236, 0.000354406627593562, 0.000256018916843459, 0.0012236693874001503, 0.00030564115149900317]
tile_37_24_2.png	good	[0.002693220740184188, 0.9917904138565063, 0.0006126309745013714, 0.00010491630382603034, 0.00029680776060558856, 0.003846617415547371, 0.0006554670981131494]
tile_55_40_4.png	good	[0.0012980392202734947, 0.7449872493743896, 0.06304571777582169, 0.01703791134059429, 0.05659026280045509, 0.11310689151287079, 0.003933979198336601]
tile_35_46_0.png	good	[0.05309347063302994, 0.8665802478790283, 0.023683933541178703, 0.0003211991861462593, 0.025307586416602135, 0.00843202043324709, 0.02258151024580002]
tile_27_27_0.png	good	[0.026521174237132072, 0.5063839554786682, 0.03460395708680153, 0.0009616753086447716, 0.06805501878261566, 0.2529958188533783, 0.11047834903001785]
tile_36_35_1.png	good	[0.0003467730130068958, 0.9934953451156616, 0.0020734139252454042, 4.681821883423254e-05, 0.0002101206628140062, 0.003504988271743059, 0.00032265990739688277]
tile_53_28_0.png	good	[0.0004658004909288138, 0.995918333530426, 7.926473335828632e-05, 4.2850904719671234e-05, 0.0007223268621601164, 0.0026737579610198736, 9.771864279173315e-05]
tile_34_36_2.png	good	[0.000351621099980548, 0.9933254718780518, 0.0038131633773446083, 0.00010791271779453382, 0.00016208735178224742, 0.002129368018358946, 0.0001104009133996442]
tile_42_55_2.png	good	[0.0007117001805454493, 0.9870665669441223, 0.0005918294191360474, 3.968872260884382e-05, 0.00031291969935409725, 0.010956580750644207, 0.0003207291883882135]
tile_26_17_2.png	good	[0.0017986015882343054, 0.982770562171936, 0.004961052443832159, 0.0010915272869169712, 0.0003426795592531562, 0.008141865022480488, 0.0008937424863688648]
tile_24_39_0.png	good	[0.0007007881649769843, 0.9642829895019531, 0.007508504204452038, 0.007355863694101572, 0.015270964242517948, 0.002514515770599246, 0.0023664101026952267]
tile_32_58_0.png	good	[0.0030155284330248833, 0.8955360651016235, 0.013146384619176388, 0.023483755066990852, 0.052814751863479614, 0.010181923396885395, 0.001821631332859397]
tile_25_28_1.png	good	[0.0016643076669424772, 0.9959050416946411, 0.0005833931500092149, 5.94134398852475e-05, 6.572637357749045e-05, 0.0011332660214975476, 0.0005888368468731642]
tile_33_47_1.png	good	[0.004324981477111578, 0.9889658093452454, 0.0005202004103921354, 0.000934626383241266, 0.0003946657234337181, 0.00393596151843667, 0.0009235958568751812]
tile_43_44_3.png	good	[0.02018987387418747, 0.4578409790992737, 0.20465849339962006, 0.031917694956064224, 0.11019006371498108, 0.1610133796930313, 0.014189541339874268]
tile_34_19_1.png	good	[0.013037031516432762, 0.6134606599807739, 0.22484737634658813, 0.014137455262243748, 0.1067596897482872, 0.015120727941393852, 0.012637093663215637]
