image path：/home/u23211510025/process/val_batch12_0531/C202403436/Step3_sc_slide/C202403436
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_62_32_5.png	good	[0.0002761353680398315, 0.999180018901825, 7.099615686456673e-06, 1.1787944913521642e-06, 2.3035730919218622e-05, 0.0003773131757043302, 0.00013510242570191622]
tile_54_13_5.png	good	[4.396480289869942e-05, 0.999666690826416, 3.453081808402203e-05, 1.1029620509361848e-05, 0.00011412805179134011, 7.287850166903809e-05, 5.665082062478177e-05]
tile_43_27_2.png	good	[8.116699609672651e-05, 0.9997326731681824, 1.905497265397571e-05, 3.027251295861788e-06, 1.4813570487604011e-05, 9.764509013621137e-05, 5.1649789384100586e-05]
tile_41_49_0.png	good	[0.0004570040327962488, 0.9796267151832581, 0.013363859616219997, 8.143750164890662e-05, 0.005592275410890579, 0.00024230618146248162, 0.0006364635191857815]
tile_34_11_9.png	good	[0.001232026144862175, 0.9438533186912537, 0.03181224316358566, 0.0016368317883461714, 0.012793587520718575, 0.008439984172582626, 0.00023200736904982477]
tile_39_23_1.png	good	[0.0017128176987171173, 0.8540298342704773, 0.02191586047410965, 0.06419946998357773, 0.004819404799491167, 0.03796292841434479, 0.015359698794782162]
tile_56_16_0.png	good	[0.004258170258253813, 0.9174056649208069, 0.04303215071558952, 0.0009211960714310408, 0.02819090522825718, 0.0021073350217193365, 0.004084575921297073]
tile_23_25_6.png	good	[0.006615529768168926, 0.656379759311676, 0.25846588611602783, 0.006422135047614574, 0.018484516069293022, 0.0498700812458992, 0.0037620568182319403]
tile_13_28_4.png	good	[0.00810619443655014, 0.6743268370628357, 0.1857365220785141, 0.0009514416451565921, 0.11770602315664291, 0.008101477287709713, 0.005071503575891256]
tile_46_53_0.png	good	[0.0009036713745445013, 0.955430269241333, 0.03935153782367706, 7.008192187640816e-05, 0.0005241917679086328, 0.0009655365720391273, 0.0027547713834792376]
tile_38_34_0.png	good	[4.446812818059698e-05, 0.9996908903121948, 6.213575397850946e-05, 9.354754979540303e-07, 1.902205440273974e-05, 5.931558189331554e-05, 0.0001232458307640627]
tile_22_53_6.png	good	[0.00852858368307352, 0.44888320565223694, 0.4358823299407959, 0.051388051360845566, 0.03368821367621422, 0.01597847044467926, 0.005651160608977079]
tile_39_40_2.png	good	[2.501746166672092e-06, 0.9999655485153198, 9.089159902941901e-06, 3.138629153909278e-06, 2.1060529888927704e-06, 1.2124653949285857e-05, 5.484165740199387e-06]
