image path：/home/u23211510025/process/val_batch28/C202401622/Step3_sc_slide/C202401622
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_23_29_2.png	good	[0.005551130510866642, 0.6367700099945068, 0.000875952944625169, 0.0028471299447119236, 0.0033001669216901064, 0.0026345225051045418, 0.34802114963531494]
tile_18_11_7.png	good	[0.0013183766277506948, 0.9877057671546936, 0.0038588568568229675, 5.708469689125195e-05, 0.004886875860393047, 0.00047717458801344037, 0.0016957310726866126]
tile_52_56_0.png	good	[0.0027346296701580286, 0.8132771849632263, 0.16891628503799438, 0.007847498171031475, 0.006030063144862652, 0.0006938528385944664, 0.0005003628903068602]
tile_36_18_0.png	good	[0.0002266338560730219, 0.9988133907318115, 3.8770227547502145e-05, 9.293787115893792e-06, 0.00021167111117392778, 8.892537152860314e-05, 0.0006113305571489036]
tile_44_37_0.png	good	[6.228289566934109e-05, 0.9932602047920227, 0.0022899743635207415, 1.0687670510378666e-05, 0.0035082376562058926, 0.0003853223752230406, 0.00048329008859582245]
tile_27_44_1.png	good	[0.0019424213096499443, 0.9948593378067017, 0.0010152461472898722, 0.00021168275270611048, 0.0013111995067447424, 0.00045503146247938275, 0.00020509285968728364]
tile_19_25_1.png	good	[0.000104587605164852, 0.9840954542160034, 0.0006160267512314022, 0.00014028949954081327, 0.008950388990342617, 0.0008914655772969127, 0.005201742984354496]
tile_46_15_2.png	good	[0.0012928458163514733, 0.9932839870452881, 0.00016159193182829767, 0.00021024048328399658, 0.0007873927825130522, 0.004106869455426931, 0.00015704309043940157]
tile_37_41_3.png	good	[0.0033389823511242867, 0.9963189363479614, 1.908196645672433e-05, 8.027661351661664e-06, 8.660429011797532e-05, 9.297639189753681e-05, 0.00013536360347643495]
tile_45_60_3.png	mult	[0.011746027506887913, 0.31302669644355774, 0.5063381791114807, 0.013881249353289604, 0.11765115708112717, 0.00887265708297491, 0.02848396636545658]
tile_29_22_3.png	good	[0.00035640900023281574, 0.961682915687561, 0.0016854254063218832, 0.0076313563622534275, 0.027362288907170296, 0.001010945183224976, 0.0002707104431465268]
tile_55_23_3.png	good	[0.010291135869920254, 0.9281342029571533, 0.0008523428114131093, 0.0005713154096156359, 0.02423628605902195, 0.009026451036334038, 0.026888271793723106]
tile_18_36_0.png	good	[0.00019840712775476277, 0.9950171113014221, 6.504641351057217e-05, 4.773697583004832e-05, 0.0022239030804485083, 0.0002952881914097816, 0.002152651082724333]
tile_26_55_0.png	good	[0.0003697177453432232, 0.9921775460243225, 0.0008677507867105305, 1.0219590876658913e-05, 0.004094465635716915, 0.00237736152485013, 0.00010298511915607378]
tile_36_52_2.png	good	[0.15698227286338806, 0.6418923735618591, 0.0013488789554685354, 0.007863553240895271, 0.05204390734434128, 0.027639353647828102, 0.11222965270280838]
tile_28_33_2.png	good	[0.001222630264237523, 0.6031212210655212, 0.00024058810959104449, 0.0005742089706473053, 0.0019563287496566772, 0.0018934491090476513, 0.39099159836769104]
tile_53_45_1.png	good	[2.359792051720433e-05, 0.988625168800354, 0.0067078243009746075, 1.5218377484416123e-05, 0.004217387177050114, 0.0003618276969064027, 4.904262095806189e-05]
tile_45_26_1.png	good	[0.004549176432192326, 0.9836132526397705, 0.0001406984229106456, 4.972534952685237e-05, 0.003970833960920572, 0.0005768711562268436, 0.007099400740116835]
tile_28_50_3.png	good	[0.010841346345841885, 0.9162561297416687, 0.00016094310558401048, 0.0004940770450048149, 0.05718417465686798, 0.012975906021893024, 0.0020874834153801203]
tile_54_17_1.png	good	[0.04009364917874336, 0.6524556875228882, 0.026346910744905472, 0.16559818387031555, 0.053686805069446564, 0.053200170397758484, 0.008618582040071487]
tile_62_36_1.png	good	[0.0007000962505117059, 0.9922260046005249, 0.00013872327690478414, 6.0493883211165667e-05, 0.00029220880242064595, 0.0004283285525161773, 0.006154176779091358]
