image path：F:\neg_train_dataset_svs\Step3\ori\C202402223
weight：F:\efficientNet\qc_iteration\iteration12\weight\0703_1409\Epoch21.pth
Image:	pred:	prob：
tile_10_16_5.png	good	[0.0005692626582458615, 0.9925231337547302, 0.0005844033439643681, 0.000420564814703539, 0.002843128750100732, 0.0014599255518987775, 0.0015994932036846876]
tile_10_16_7.png	good	[0.10949715971946716, 0.7605213522911072, 0.0022614176850765944, 0.021591316908597946, 0.011648793704807758, 0.0418642982840538, 0.05261574313044548]
tile_10_16_8.png	good	[0.07363197207450867, 0.4190784692764282, 0.1923152655363083, 0.046468425542116165, 0.04408835247159004, 0.14597442746162415, 0.07844305783510208]
tile_10_17_1.png	good	[0.0010557365603744984, 0.9895110726356506, 0.0021038742270320654, 0.004832071717828512, 0.0004464001103769988, 0.0017737767193466425, 0.0002770461142063141]
tile_10_17_10.png	good	[5.924130528001115e-05, 0.982348620891571, 0.000613272946793586, 3.971021214965731e-06, 0.016711197793483734, 0.00021306509734131396, 5.062892523710616e-05]
tile_10_17_11.png	good	[0.09012993425130844, 0.6610557436943054, 0.010849633254110813, 0.031072821468114853, 0.05307398736476898, 0.1208086833357811, 0.03300915285944939]
tile_10_17_13.png	good	[0.0006241471855901182, 0.998736560344696, 0.0005133429076522589, 1.326690266978403e-06, 7.940486102597788e-05, 2.4695060346857645e-05, 2.0547095118672587e-05]
tile_10_17_2.png	good	[0.02983458712697029, 0.9371439814567566, 0.00958129670470953, 0.0007759914151392877, 0.008524955250322819, 0.00867380015552044, 0.005465407390147448]
tile_10_17_3.png	good	[0.0002242176269646734, 0.9996459484100342, 5.008282187191071e-06, 2.6904704100161325e-06, 9.188071999233216e-05, 2.05615688173566e-05, 9.598278666089755e-06]
tile_10_17_5.png	good	[0.0007275620009750128, 0.9970229268074036, 0.000594653538428247, 0.0006668838323093951, 0.00021180088515393436, 0.0005317041650414467, 0.00024435296654701233]
tile_10_17_6.png	good	[0.0012319140369072556, 0.9936754107475281, 0.00023855429026298225, 0.00042452706838957965, 0.001426906674169004, 0.002451634034514427, 0.000550992030184716]
tile_10_17_7.png	good	[0.20280681550502777, 0.664591372013092, 0.0034262260887771845, 0.0005868200678378344, 0.03193251043558121, 0.0226201880723238, 0.07403600215911865]
tile_10_17_8.png	good	[0.43461841344833374, 0.5604825615882874, 0.00016146244888659567, 0.0004449289117474109, 0.0018033819505944848, 0.0005192019161768258, 0.0019700387492775917]
tile_10_17_9.png	good	[0.00019582221284508705, 0.9997443556785583, 1.6797645230326452e-06, 2.6474901460460387e-05, 2.2078687834437005e-05, 4.538094344752608e-06, 5.034708465245785e-06]
tile_10_18_0.png	good	[0.0166019294410944, 0.7060352563858032, 0.01605343632400036, 0.006298283580690622, 0.24153576791286469, 0.005271886941045523, 0.008203377947211266]
tile_10_18_1.png	good	[0.0017201085574924946, 0.9803963899612427, 0.004199137445539236, 0.0032429518178105354, 0.006887590046972036, 0.0022993450984358788, 0.0012544470373541117]
tile_10_18_12.png	good	[0.08401556313037872, 0.6310645341873169, 0.023227082565426826, 0.02607893943786621, 0.05758914723992348, 0.14198870956897736, 0.036036066710948944]
tile_10_18_13.png	good	[0.0009133780258707702, 0.9319272637367249, 0.0013116254704073071, 0.000299691513646394, 0.008995287120342255, 0.05532614141702652, 0.0012266633566468954]
tile_10_18_2.png	good	[0.0042930119670927525, 0.9555414915084839, 0.025649558752775192, 0.0011362192453816533, 0.00533388601616025, 0.0029038607608526945, 0.005141878500580788]
tile_10_18_4.png	good	[0.004787611775100231, 0.9489995837211609, 0.0093093141913414, 0.009337971918284893, 0.006368289701640606, 0.0043473378755152225, 0.016849925741553307]
tile_10_18_5.png	good	[0.02791978046298027, 0.7202358245849609, 0.01016073115170002, 0.19265076518058777, 0.014125618152320385, 0.01362451259046793, 0.02128286100924015]
tile_10_18_6.png	good	[0.09024441242218018, 0.8073806762695312, 0.0052736373618245125, 0.01203859131783247, 0.026910027489066124, 0.011027810163795948, 0.047124750912189484]
tile_10_18_7.png	good	[0.04614819213747978, 0.7511491775512695, 0.09831750392913818, 0.04632997140288353, 0.04017436131834984, 0.013054845854640007, 0.0048258937895298]
tile_10_18_8.png	good	[0.0013880529440939426, 0.9897241592407227, 0.002214024541899562, 0.004877110477536917, 0.0012541059404611588, 0.0002793414460029453, 0.00026310989051125944]
tile_10_18_9.png	good	[0.19833888113498688, 0.6969984769821167, 0.011546560563147068, 0.01259051263332367, 0.05107996240258217, 0.009362195618450642, 0.02008342556655407]
tile_10_19_0.png	good	[0.012098317965865135, 0.854367196559906, 0.001546148327179253, 0.001017098082229495, 0.0003838528355117887, 0.007420623674988747, 0.12316681444644928]
